Date,EURUSD=X,USDJPY=X,spread,velocity
2010-11-17,1.349054,83.38,-80.4174,-0.04571223
2010-11-18,1.355399,83.1,-80.66159,-0.06237279
2010-11-19,1.365728,83.54,-80.94859,-0.08122818
2010-11-22,1.374438,83.485,-81.1972,-0.0952789
2010-11-23,1.360193,83.29,-81.39119,-0.1035647
2010-11-24,1.338634,83.269,-81.56222,-0.109228
2010-11-25,1.335791,83.52,-81.75087,-0.1158943
2010-11-26,1.333974,83.63,-81.93325,-0.1214751
2010-11-29,1.323802,84.157,-82.17529,-0.131596
2010-11-30,1.310393,84.254,-82.4055,-0.1398739
2010-12-01,1.299207,83.678,-82.51958,-0.1377081
2010-12-02,1.312491,84.123,-82.68102,-0.1397002
2010-12-03,1.321598,83.749,-82.7598,-0.1345868
2010-12-06,1.341598,82.78,-82.66888,-0.1156576
2010-12-07,1.328692,82.67,-82.56101,-0.09689427
2010-12-08,1.324468,83.479,-82.57994,-0.09034993
2010-12-09,1.325082,84.1,-82.68649,-0.09171016
2010-12-10,1.324205,83.816,-82.73385,-0.08798659
2010-12-13,1.319714,83.973,-82.79573,-0.08579533
2010-12-14,1.339549,83.44,-82.76055,-0.07564072
2010-12-15,1.336095,83.79,-82.77698,-0.07067067
2010-12-16,1.322401,84.269,-82.86298,-0.07195702
2010-12-17,1.323995,84.05,-82.90258,-0.0692408
2010-12-20,1.3165,84.01,-82.92871,-0.06562247
2010-12-21,1.311802,83.771,-82.91145,-0.05866527
2010-12-22,1.309003,83.79,-82.89436,-0.05230628
2010-12-23,1.311544,83.56,-82.83853,-0.04322886
2010-12-24,1.312715,83.02,-82.69985,-0.02795962
2010-12-27,1.307976,82.919,-82.55484,-0.01344035
2010-12-28,1.318965,82.72,-82.3875,0.001734916
2010-12-29,1.308627,82.356,-82.17847,0.01913516
2010-12-30,1.322454,81.618,-81.87067,0.04336618
2010-12-31,1.330123,81.48,-81.5675,0.06517421
2011-01-03,1.335791,81.123,-81.23669,0.08747231
2011-01-04,1.335684,81.67,-81.023,0.09806677
2011-01-05,1.332108,82.038,-80.89101,0.1009145
2011-01-06,1.315686,83.189,-80.95787,0.08683164
2011-01-07,1.297993,83.3,-81.0462,0.07212793
2011-01-10,1.289507,83.03,-81.09278,0.0621638
2011-01-11,1.296496,82.71,-81.08992,0.05718589
2011-01-12,1.298398,83.34,-81.18899,0.04406968
2011-01-13,1.312836,83.07,-81.23974,0.03610989
2011-01-14,1.335327,82.762,-81.23818,0.03321014
