time,x,y,xv,yv,truex,truey,truexv,trueyv,measx,measy,measxv,measyv,gainx,gainy,gainxv,gainyv
8.2,409.8244,84.43748,49.99813,-21.81482,410,80.1878,50,-30.442,408.6295,79.83122,49.9286,-30.64157,0.0882475,0.0882475,0.089282,0.089282
8.3,414.9255,81.30761,50.03823,-22.79446,415,77.09455,50,-31.423,415.8776,76.17972,50.19125,-31.3101,0.08824749,0.08824749,0.08928199,0.08928199
8.4,419.8243,78.19812,49.98017,-23.74725,420,73.9032,50,-32.404,418.9407,74.30716,49.62833,-32.3185,0.08824749,0.08824749,0.08928199,0.08928199
8.5,424.7144,74.96104,49.90507,-24.71935,425,70.61375,50,-33.385,423.9035,70.8072,49.36237,-33.41575,0.08824748,0.08824748,0.08928198,0.08928198
8.6,429.7883,71.53527,49.98576,-25.77004,430,67.2262,50,-34.366,430.2727,66.7874,50.67076,-35.10159,0.08824748,0.08824748,0.08928198,0.08928198
8.7,434.5634,67.97629,49.92683,-26.74431,435,63.74055,50,-35.347,432.2797,62.41606,49.93522,-35.09195,0.08824748,0.08824748,0.08928197,0.08928197
8.8,439.474,64.40592,49.94903,-27.72252,440,60.1568,50,-36.328,438.3612,59.89179,50.46603,-36.38556,0.08824748,0.08824748,0.08928197,0.08928197
8.9,444.6411,60.7131,50.00185,-28.75399,445,56.47495,50,-37.309,446.3547,56.23977,50.08215,-37.96422,0.08824747,0.08824747,0.08928197,0.08928197
9,449.711,56.96946,49.99677,-29.75367,450,52.695,50,-38.29,450.5696,52.91832,49.71935,-38.75491,0.08824747,0.08824747,0.08928197,0.08928197
9.1,454.7293,53.08443,49.98575,-30.76612,455,48.81695,50,-39.271,455.0192,48.62162,49.79824,-39.78764,0.08824747,0.08824747,0.08928197,0.08928197
9.2,459.5981,49.08905,49.91113,-31.85816,460,44.8408,50,-40.252,458.525,45.01619,49.44247,-41.78397,0.08824747,0.08824747,0.08928197,0.08928197
9.3,464.6826,44.96408,49.97459,-32.7669,465,40.76655,50,-41.233,465.3937,39.50208,50.42625,-40.48036,0.08824747,0.08824747,0.08928197,0.08928197
9.4,469.7581,40.82687,50.05721,-33.69369,470,36.5942,50,-42.214,470.1679,36.41135,50.78145,-41.86482,0.08824747,0.08824747,0.08928196,0.08928196
9.5,474.8317,36.47539,50.15922,-34.71651,475,32.32375,50,-43.195,474.9993,31.21746,51.14253,-43.63282,0.08824747,0.08824747,0.08928196,0.08928196
9.6,479.9888,32.14891,50.20807,-35.74916,480,27.9552,50,-44.176,481.358,28.46334,50.33916,-45.17897,0.08824747,0.08824747,0.08928196,0.08928196
9.7,484.9745,27.68946,50.23545,-36.69905,485,23.48855,50,-45.157,484.3866,23.13352,50.66619,-45.06582,0.08824747,0.08824747,0.08928196,0.08928196
9.8,490.0174,23.06138,50.2415,-37.71749,490,18.9238,50,-46.138,490.2095,18.0601,50.25179,-46.65729,0.08824747,0.08824747,0.08928196,0.08928196
9.9,495.0598,18.51382,50.19122,-38.61378,495,14.26095,50,-47.119,495.5909,14.913,49.5448,-46.69248,0.08824747,0.08824747,0.08928196,0.08928196
